text,label,scam_type,elder_targeted,source,template_id
"Hi Mum smashed my phone and I'm using a friends phone to message you and phone is about to die Could you message me on WhatsApp, my new number is 1-800-555-0199",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::0
"Hey mum, i've just broken my phone im messaging from a friends phone please contact my new number on whatsapp its urgent 1-800-555-0199 our team",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::1
Its mum I left my phone at home and at the petrol station with the wrong card. Can you send me 250. BSB: 633-123 ACC: 00123456. Pay you back when i get home x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::2
Hi dad my phones broken on a friends so please message my new number on What'sApp when you get this 05/12,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::3
Hi Mum it's me I'm messaging off a friends phone I've smashed mine and their phones about to die can you WhatsApp my new number please 1-800-555-0199 x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::4
Hello mum I was in a small accident my phone is fully smashed! Im using a friends phone to text you now. Pls text my new number 1-800-555-0199 asap its urgent x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::5
Hey Mum!!! I've got a new phone XXX,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::6
Hi Mom my phone is broken I'm using my friend's phone to text you. I had a serious problem I was locked out of my bank for 05/12 due to security measures. Can you please WhatsApp me on 00123456,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::7
Hi mum I've just damaged my phone and can't use it anymore could you please message my new number on Whats-App it's urgent 05/12,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::8
Hey mum using friends phone cos my phone smashed. can u message my temp number on whatsap its urgent 1-800-555-0199 please x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::9
Hi Mum I accidentally dropped phone and smashed the screen so Im using an old one can you save my new number 1-800-555-0199 for the time being,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::10
hi mum i broke my phone and im messaging you of my friends number. can you please WhatsApp me on my new number 1-800-555-0199 their phone is dying,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::11
This is your mum. My battery died I am at your provider and brought the wrong card. Please send me 500 I will give it when I get home. B-S-B 484-799 A-C-C,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::12
Hello mum I've smashed my phone and I took it to get fixed so I have a temporary number while I wait for it to be repaired. Text me here +00123456.,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::13
Hey mum I dropped my phone down the toilet and the sim isn't working. Can you message my new number on your area it's urgent x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::14
Mum i lost my phone and wallet. I am at a phone shop at the moment. Currently using my friend your provider's phone. whatsapp or text me asap on your provider,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::15
Hi Mumthe anniversary is over its now 05/12 since I lost your provider hope GOD will give me a lovingcaring to my kids. I hope my son&daughter are doing well,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::16
Hi mum/dad I've dropped my phone and now it's broken this is my new number for now so can you save it and text me through What's App please,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::17
Hi mum I'm using friends phone I've smashed mine and their phones low can you message my new number please 075XXXXXX x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::18
Hello-Mum I accidentally dropped my mobile-phone down the toilet it is damaged so I'm using an old one save this # for the time being.,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::19
Hi Dad I have damaged my phone so this is my new number just until I get my phone repaired Save my temp number x Thanks for saving number. I'll be on this number just until I get my phone repaired. X Hopefully the phone shop can fix it fingers crossed.. I'm having a nightmare with another issue that I may need help with.. x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::20
Hello your provider/Dad this is my new number. Would you like to save it please?,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::21
Mum my screeens gone after I dropped my phone could you messsage my new numb 00123456,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::22
Mum I smashed my phone and I'm using a friends phone to message you their phone is about to die. Could you message me on my new number asap it's 1-800-555-0199 x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::23
Hi mum I've lost my phone so I've had to get a temporary number can you text me on my new number 05/12,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::24
Hello mum My phone doesnt work so im using a spare. I need to talk to you urgently. The bank have locked my account and i need to pay a debt. But i only have data so please message me on whatsapp on 00123456,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::25
Hello mum I've smashed my phone earlier. You won't be able to reach me on my old number till I get my phone fixed. Text me when you get this on 1-800-555-0199,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::26
Hi mum I've just broken my phone could you please message my new number on WhatsApp please 05/12 x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::27
your provider mum sorry its so late I'm stuck my phone just won't turn on for some reason im messaging from a freinds phone because i only have data. You can save this one.1-800-555-0199 Message me on WhatsApp if you’ve seen this. cause I can reply with data,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::28
Hi mum I've smashed my phone so I'm using a spare phone now. Can you save this number and text me through whatsapp when you see this please?,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::29
Hey mum whatsapp me asap on tis number x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::30
Hey dad my phone Fell in the sink and now it has water damage. This is now my temporary number because my phone doesn't read my old your provider card anymore,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::31
Hi mum I'm texting you off a friends phone I've smashed mine and their phones about to die can you message my new number asap it's 1-800-555-0199 x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::32
Dad i lost my phone. This is my new number could you please send me a message on WahtsApp on this new number?,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::33
Hi mum I'm texting you off a friends phone I've smashed mine and their phones about to die can you WhatsApp my new number,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::34
Hi mum I'm using friends phone I've smashed mine and their phones low can you message my new number please 05/12 x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::35
Hi Dad Whose this? It's your eldest and favourite child. X Hmm I have an eldest child and I have a favourite child!! X Yes x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::36
Hi mam and dad my sim card is blocked. This is my new phone number 1-800-555-0199. Text me now on WhatsApp. Thank You!,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::37
Hi Mum my phone's broken using a friend's phone but is on low battery. Please call or text me on my new number which is 1-800-555-0199 Urgent! your provider,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::38
Hi dad my phones broken on a friends so please message my new number on WhatsApp when you get this 05/12,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::41
Hey mum using friends phone cos my phone smashed. can u message my temp number on whastapp its urgent 1-800-555-0199 please x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::46
Hi mum I'm using friends phone I've smashed mine and their phones low can you message my new number please 075********* x,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::52
Hey dad my phone Fell in the sink and now it has water damage. This is now my temporary number because my phone doesn't read my old your provider card anymore.,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::57
"Hey mum, my phone has water damage. That is why i have this temporary number. It felt in my sink😞 how are you doing?",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::62
your provider: Some one u know on 05/12 has no credit & wants u to call them ASAP. CallBack SMS Service by http://bit.ly/3xK9fQ2 So pls call them from ur phone.,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::63
"Hi Mum I'm texting you off a friends phone I've smashed mine and their phones about to die, can you WhatsApp my new number 1-800-555-0199 Please x",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::64
"This is your mom. We got into an accident! Send D1234567,000 to this account.",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::65
"Hi Mum I'm texting you off a friends phone I've smashed mine and their phones about to die, can you WhatsApp my new number 05/12 please x",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::66
"Mum I've dropped my phone in the toilet and it's not working properly. I'm messaging off a friends phone, just save my new number and text me now 05/12",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::67
"Hi Mum I'm texting you off a friends phone I've smashed mine and their phones about to die, can you WhatsApp my new number 1-800-555-0199 please x",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::68
"Hi mum ive smashed my phone. Can you whatsapp me heres my new number 04858xxxx x, it is urgent please",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::69
"Hi mum I'm texting you off a friends phone I've smashed mine and their phones about to die, can you WhatsApp my new number 0*** please x",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::70
"Hi mum I'm texting you off a friends phone I've smashed mine and their phones about to die, can you WhatsApp my new number 1-800-555-0199 please x",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::71
Hi mumm/dad this is my new number. Would you like to send me a confirmation message on my WhatsApp. 05/12,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::72
"your provider mum/dad, This is my new number. Message me on whatsapp please",1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::73
It’s 🥵 we just finished the thing and were coming back My phone died so I’m waiting for it to charge,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::74
I am coming to see you 05/12 I'm off 05/12 I will try to get ahold of you for morning 05/12 I just want to see you and I want to see them babies I love you this is your mom,1,grandparent_scam,1,reportsmishing_imc25,real_smishing::hey mum/dad::75
"FINAL REQUEST:DVLA Swansea have been trying to contact you, Click below for more information.",1,government_impersonation,1,reportsmishing_imc25,real_smishing::government::0
