text,label,scam_type,elder_targeted,source,template_id
"Hi Pawpaw, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $1,200 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Linda, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $3,000 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Grandma, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $1,800 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Pawpaw, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $800 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Grandpa, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $500 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Grandpa, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $2,000 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Robert, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $1,500 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Hi Mom, it's me, I'm in trouble. I was in a car accident and I'm at the police station. I need $800 for bail but please don't tell Mom and Dad, I'm so embarrassed. Can you send it through a wire transfer today?",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::0
"Mom?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $1,500 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Grandpa?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $650 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Uncle Jim?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $300 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Mom?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $3,000 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Mom?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $500 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Nana?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $2,500 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Dad?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $300 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Robert?? It's your grandson, I broke my phone so this is a friend's number. I'm stuck in Mexico, I need $300 to get home. Please hurry and don't call my parents, I'll explain everything later.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::1
"Grandma, please don't hang up. I'm in jail and I only get one call. My bail is set at $2,500. The lawyer said you can pay it with gift cards at the front desk. Please keep this between us.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::2
"Grandma, please don't hang up. I'm in jail and I only get one call. My bail is set at $800. The lawyer said you can pay it with gift cards at the front desk. Please keep this between us.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::2
"Grandma, please don't hang up. I'm in jail and I only get one call. My bail is set at $1,200. The lawyer said you can pay it with gift cards at the front desk. Please keep this between us.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::2
"Grandma, please don't hang up. I'm in jail and I only get one call. My bail is set at $3,000. The lawyer said you can pay it with gift cards at the front desk. Please keep this between us.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::2
"Grandma, please don't hang up. I'm in jail and I only get one call. My bail is set at $650. The lawyer said you can pay it with gift cards at the front desk. Please keep this between us.",1,grandparent_scam,1,synthetic_ic3_grounded,grandparent_scam::2
